"Silo_pallipes <unknown description>","Polycentropus_flavomaculatus <unknown description>","Nemoura_sp <unknown description>","Hydropsyche_saxonica <unknown description>","Isoperla_sp <unknown description>","Leuctra_sp <unknown description>","Neureclipsis_bimaculata <unknown description>","Oxyethira_sp <unknown description>","Simuliidae <unknown description>","Taeniopteryx_nebulosa <unknown description>","Hydraena_sp <unknown description>","Micrasema_setiferum <unknown description>","Hydropsyche_siltalai <unknown description>","Plectrocnemia_sp <unknown description>","Ephemerella_aurivillii <unknown description>","Polycentropus_irroratus <unknown description>","Nemoura_cinerea <unknown description>","Baetis_vernus_group <unknown description>","Leptophlebia_sp <unknown description>","Sphaerium_sp <unknown description>","Protonemura_sp <unknown description>","Micrasema_gelidum <unknown description>","Agapetus_sp <unknown description>","Oulimnius_tuberculatus <unknown description>","Lepidostoma_hirtum <unknown description>","Elmis_aenea <unknown description>","Rhyacophila_nubila <unknown description>","Diura_sp <unknown description>","Limnius_volckmari <unknown description>","Baetis_rhodani <unknown description>","Sialis_sp <unknown description>","Kageronia_fuscogrisea <unknown description>","Hydropsyche_pellucidula <unknown description>","Ameletus_inopinatus <unknown description>","Ephemerella_mucronata <unknown description>","Leuctra_nigra <unknown description>","Capnopsis_schilleri <unknown description>","Heptagenia_sulphurea <unknown description>","Amphinemura_borealis <unknown description>"
"Silo_pallipes <unknown description>",0,0.304810743806622,0.339802512537222,0.345796550435725,0.336823362641897,0.330900330870684,0.29631206929946,0.333855999720592,0.268659167443214,0.2768485117747,0.325023709227723,0.211189811333667,0.2768485117747,0.252543954794857,0.322102576031567,0.35183887919007,0.339802512537222,0.354878397028037,0.385970932286797,0.431786701271676,0.348811629873224,0.184026348612738,0.2768485117747,0.307665171609881,0.234170332511847,0.330900330870684,0.257877310602984,0.382803028949658,0.313406826445877,0.330900330870684,0.304810743806622,0.29631206929946,0.29069932093408,0.342793543420689,0.348811629873224,0.339802512537222,0.339802512537222,0.367161168989029,0.287908620039813
"Polycentropus_flavomaculatus <unknown description>",0.304810743806622,0,0.382803028949658,0.342793543420689,0.421730684700851,0.360994638875017,0.208679348738624,0.327956264283605,0.345796550435725,0.357930283233082,0.370263551902865,0.35183887919007,0.29350044463832,0.137025851599643,0.452312497708195,0.123481465445845,0.3640715662676,0.431786701271676,0.513718618814443,0.480584396281972,0.421730684700851,0.310530504607921,0.319192776067375,0.379648450166452,0.382803028949658,0.382803028949658,0.316294221734958,0.452312497708195,0.402014324772785,0.418408420132159,0.354878397028037,0.373378821179385,0.330900330870684,0.398778073796725,0.435168894151157,0.392347166228287,0.441979383627967,0.408529023714755,0.408529023714755
"Nemoura_sp <unknown description>",0.339802512537222,0.382803028949658,0,0.373378821179385,0.179191521232998,0.191337535672984,0.389152273218069,0.367161168989029,0.198720696199066,0.186455500533846,0.301967138504426,0.336823362641897,0.360994638875017,0.360994638875017,0.241989690915849,0.421730684700851,0.125721945080647,0.29631206929946,0.304810743806622,0.44885228395806,0.191337535672984,0.310530504607921,0.29350044463832,0.265949137394329,0.313406826445877,0.282358178426184,0.260558278605203,0.231581891633685,0.257877310602984,0.274108782700681,0.234170332511847,0.244614365510547,0.357930283233082,0.221316547461897,0.268659167443214,0.208679348738624,0.229002353407253,0.249891432136099,0.179191521232998
"Hydropsyche_saxonica <unknown description>",0.345796550435725,0.342793543420689,0.373378821179385,0,0.336823362641897,0.385970932286797,0.360994638875017,0.304810743806622,0.325023709227723,0.370263551902865,0.325023709227723,0.373378821179385,0.181605039003649,0.310530504607921,0.3640715662676,0.35183887919007,0.345796550435725,0.360994638875017,0.418408420132159,0.506227919843181,0.360994638875017,0.304810743806622,0.29350044463832,0.307665171609881,0.339802512537222,0.42841969224973,0.29350044463832,0.376507084317388,0.345796550435725,0.392347166228287,0.345796550435725,0.367161168989029,0.184026348612738,0.360994638875017,0.354878397028037,0.376507084317388,0.395555727271596,0.3640715662676,0.367161168989029
"Isoperla_sp <unknown description>",0.336823362641897,0.421730684700851,0.179191521232998,0.336823362641897,0,0.198720696199066,0.415100807273995,0.348811629873224,0.221316547461897,0.179191521232998,0.271379025365094,0.333855999720592,0.342793543420689,0.370263551902865,0.244614365510547,0.441979383627967,0.211189811333667,0.29069932093408,0.2768485117747,0.421730684700851,0.211189811333667,0.287908620039813,0.285128264677698,0.247248257594202,0.29350044463832,0.301967138504426,0.252543954794857,0.167239077035889,0.271379025365094,0.29350044463832,0.229002353407253,0.231581891633685,0.35183887919007,0.206177261347116,0.257877310602984,0.20119798994601,0.184026348612738,0.206177261347116,0.188892545732578
"Leuctra_sp <unknown description>",0.330900330870684,0.360994638875017,0.191337535672984,0.385970932286797,0.198720696199066,0,0.376507084317388,0.336823362641897,0.196251558166459,0.164871277121313,0.252543954794857,0.299134273946617,0.345796550435725,0.345796550435725,0.231581891633685,0.370263551902865,0.196251558166459,0.2768485117747,0.255205891928214,0.445407961027402,0.193790522324075,0.257877310602984,0.274108782700681,0.265949137394329,0.330900330870684,0.282358178426184,0.260558278605203,0.221316547461897,0.287908620039813,0.2768485117747,0.226431656803053,0.234170332511847,0.370263551902865,0.218772015759082,0.223869741416997,0.153143125702713,0.206177261347116,0.221316547461897,0.198720696199066
"Neureclipsis_bimaculata <unknown description>",0.29631206929946,0.208679348738624,0.389152273218069,0.360994638875017,0.415100807273995,0.376507084317388,0,0.367161168989029,0.357930283233082,0.379648450166452,0.411807717460878,0.327956264283605,0.310530504607921,0.196251558166459,0.42841969224973,0.223869741416997,0.360994638875017,0.445407961027402,0.455788749586306,0.552337187829017,0.441979383627967,0.310530504607921,0.333855999720592,0.35183887919007,0.35183887919007,0.3640715662676,0.287908620039813,0.459281188958769,0.354878397028037,0.42841969224973,0.327956264283605,0.435168894151157,0.336823362641897,0.415100807273995,0.445407961027402,0.382803028949658,0.402014324772785,0.445407961027402,0.333855999720592
"Oxyethira_sp <unknown description>",0.333855999720592,0.327956264283605,0.367161168989029,0.304810743806622,0.348811629873224,0.336823362641897,0.367161168989029,0,0.301967138504426,0.348811629873224,0.313406826445877,0.342793543420689,0.2768485117747,0.330900330870684,0.367161168989029,0.360994638875017,0.3640715662676,0.376507084317388,0.382803028949658,0.517492211680968,0.345796550435725,0.339802512537222,0.260558278605203,0.316294221734958,0.336823362641897,0.327956264283605,0.345796550435725,0.411807717460878,0.327956264283605,0.345796550435725,0.342793543420689,0.370263551902865,0.29350044463832,0.357930283233082,0.35183887919007,0.376507084317388,0.379648450166452,0.354878397028037,0.316294221734958
"Simuliidae <unknown description>",0.268659167443214,0.345796550435725,0.198720696199066,0.325023709227723,0.221316547461897,0.196251558166459,0.357930283233082,0.301967138504426,0,0.184026348612738,0.247248257594202,0.285128264677698,0.279598285707384,0.35183887919007,0.239374169520537,0.373378821179385,0.229002353407253,0.29350044463832,0.282358178426184,0.421730684700851,0.231581891633685,0.274108782700681,0.247248257594202,0.274108782700681,0.29631206929946,0.260558278605203,0.244614365510547,0.252543954794857,0.271379025365094,0.29631206929946,0.229002353407253,0.203683493463537,0.325023709227723,0.231581891633685,0.249891432136099,0.21623608773018,0.244614365510547,0.23676773770531,0.211189811333667
"Taeniopteryx_nebulosa <unknown description>",0.2768485117747,0.357930283233082,0.186455500533846,0.370263551902865,0.179191521232998,0.164871277121313,0.379648450166452,0.348811629873224,0.184026348612738,0,0.239374169520537,0.316294221734958,0.287908620039813,0.330900330870684,0.241989690915849,0.395555727271596,0.20119798994601,0.263248864450445,0.274108782700681,0.402014324772785,0.193790522324075,0.29069932093408,0.279598285707384,0.263248864450445,0.339802512537222,0.239374169520537,0.23676773770531,0.234170332511847,0.282358178426184,0.260558278605203,0.21623608773018,0.198720696199066,0.354878397028037,0.226431656803053,0.226431656803053,0.181605039003649,0.184026348612738,0.252543954794857,0.179191521232998
