"Silo_pallipes <unknown description>","Polycentropus_flavomaculatus <unknown description>","Nemoura_sp <unknown description>","Hydropsyche_saxonica <unknown description>","Isoperla_sp <unknown description>","Leuctra_sp <unknown description>","Neureclipsis_bimaculata <unknown description>","Oxyethira_sp <unknown description>","Simuliidae <unknown description>","Taeniopteryx_nebulosa <unknown description>","Hydraena_sp <unknown description>","Micrasema_setiferum <unknown description>","Hydropsyche_siltalai <unknown description>","Plectrocnemia_sp <unknown description>","Ephemerella_aurivillii <unknown description>","Polycentropus_irroratus <unknown description>","Nemoura_cinerea <unknown description>","Baetis_vernus_group <unknown description>","Leptophlebia_sp <unknown description>","Sphaerium_sp <unknown description>","Protonemura_sp <unknown description>","Micrasema_gelidum <unknown description>","Agapetus_sp <unknown description>","Oulimnius_tuberculatus <unknown description>","Lepidostoma_hirtum <unknown description>","Elmis_aenea <unknown description>","Rhyacophila_nubila <unknown description>","Diura_sp <unknown description>","Limnius_volckmari <unknown description>","Baetis_rhodani <unknown description>","Sialis_sp <unknown description>","Kageronia_fuscogrisea <unknown description>","Hydropsyche_pellucidula <unknown description>","Ameletus_inopinatus <unknown description>","Ephemerella_mucronata <unknown description>","Leuctra_nigra <unknown description>","Capnopsis_schilleri <unknown description>","Heptagenia_sulphurea <unknown description>","Amphinemura_borealis <unknown description>"
"Silo_pallipes <unknown description>",0,0.3051052443237,0.341464397999957,0.346805968064226,0.339218017974779,0.332329492499725,0.297794184458351,0.334237069942435,0.269133043904437,0.277332769373152,0.326031074009693,0.211823518253011,0.27695379076999,0.252754072682275,0.324103768970546,0.355546563567829,0.342382585500603,0.357651358909103,0.39374703215529,0.432516143819803,0.350513383426993,0.184050276107145,0.277235202198331,0.309130071135996,0.234843723688055,0.332948343348411,0.258113314121291,0.389343209134093,0.316056884818056,0.331420138730849,0.307650094798055,0.29701828585732,0.291237874656782,0.34440038162031,0.351453439664546,0.340594708064947,0.342914764865339,0.372910683955006,0.289542639907404
"Polycentropus_flavomaculatus <unknown description>",0.3051052443237,0,0.385236653919995,0.343291264374687,0.423390068304753,0.362899175835079,0.208907593270532,0.328299719046946,0.346805968064226,0.358761324061959,0.371228158408586,0.352348654854299,0.293813934652949,0.137025851599643,0.454639097475519,0.124012872357575,0.365130836950674,0.434859025356086,0.527039382783789,0.480714063144824,0.423877669830308,0.310541465566126,0.319988704402157,0.381648723165117,0.383443904656157,0.383587127841741,0.316657974081292,0.457823368472027,0.404855872363091,0.42117693573929,0.355154019312938,0.374297161165664,0.331311776348636,0.399649030866413,0.43757541686936,0.393004414807071,0.444243682965012,0.410687040504693,0.409784513053222
"Nemoura_sp <unknown description>",0.341464397999957,0.385236653919995,0,0.373668295956784,0.180027255241453,0.192241657983157,0.392284659528634,0.370810013067789,0.199114484193891,0.187307417793634,0.30461978249221,0.337517775277758,0.362680317221516,0.361935937901288,0.244118387478012,0.425034990500518,0.126317023900672,0.298845844745874,0.311103164566233,0.44984629245053,0.193321230015461,0.311768618055669,0.295032766696307,0.268909468427459,0.316056884818056,0.285197061355148,0.261239991014301,0.233719514973334,0.260313268157273,0.275808814692142,0.23522975004463,0.245961579347393,0.358761324061959,0.222908282966752,0.270661153944159,0.210005675102112,0.232074141004804,0.25272966260803,0.180720274408023
"Hydropsyche_saxonica <unknown description>",0.346805968064226,0.343291264374687,0.373668295956784,0,0.337086103625152,0.386446943768157,0.361643200354726,0.305027494324129,0.325879745780136,0.371228158408586,0.325109483113906,0.373382074144803,0.182792622409034,0.310598755521488,0.367487741708455,0.355860471831709,0.346507624400493,0.361516912675896,0.421790464947664,0.506639492192037,0.361935937901288,0.305431838395315,0.293565674373161,0.308118710750621,0.339829139570687,0.430432438245622,0.29373467315416,0.379348027588609,0.34665040247216,0.394101730213187,0.345922987893071,0.368533217090683,0.184583189980566,0.362474507947551,0.35667932791806,0.376971322360138,0.396832935565229,0.365307399449938,0.368533217090683
"Isoperla_sp <unknown description>",0.339218017974779,0.423390068304753,0.180027255241453,0.337086103625152,0,0.199405261778786,0.417126670569944,0.351199656491149,0.221931093784997,0.180565436186757,0.273534725071943,0.334064946397171,0.344020423925915,0.371582539368628,0.246896172400313,0.447766152757332,0.212186913508543,0.291768749147377,0.28006570436066,0.422441002124064,0.213152964413224,0.288599327737109,0.286286187972548,0.248111977928704,0.294684209302773,0.304152276419458,0.252998046153456,0.169158786455192,0.27332740474215,0.295425060697197,0.23014347160358,0.233336650090452,0.353924479105658,0.207117496941602,0.261021405543239,0.201962812112171,0.186348187081662,0.208053566184095,0.189963737895343
"Leuctra_sp <unknown description>",0.332329492499725,0.362899175835079,0.192241657983157,0.386446943768157,0.199405261778786,0,0.378569888485263,0.339730040722599,0.197636522732673,0.165206205631653,0.254272019965413,0.300391610420635,0.34598771416591,0.34665040247216,0.233336650090452,0.373244570465371,0.196671013547677,0.278143009079528,0.256884216892144,0.446454812186359,0.194540524756432,0.259005076675212,0.274735343410868,0.266811079290922,0.332948343348411,0.283404335614173,0.261643561379029,0.22274139511366,0.28935829782671,0.277560209681928,0.226718340326099,0.236671971747659,0.371398577970434,0.219532993862137,0.225250220467652,0.153782945768883,0.207117496941602,0.22274139511366,0.199114484193891
"Neureclipsis_bimaculata <unknown description>",0.297794184458351,0.208907593270532,0.392284659528634,0.361643200354726,0.417126670569944,0.378569888485263,0,0.368012713243441,0.359673358194335,0.382149177341825,0.414723209480212,0.328398981502868,0.310775553291499,0.19639658240233,0.43189163146724,0.224452886805548,0.363904061088674,0.450681637694293,0.467450462891678,0.554365689984925,0.44654469475999,0.310953264205295,0.335054315114234,0.353484428868675,0.353484428868675,0.365307399449938,0.28935829782671,0.467965297346147,0.357139924270803,0.432229359226568,0.329437304589294,0.43757541686936,0.338150300238195,0.41794267300454,0.451102886621426,0.383915941382032,0.406126373902843,0.450681637694293,0.335054315114234
"Oxyethira_sp <unknown description>",0.334237069942435,0.328299719046946,0.370810013067789,0.305027494324129,0.351199656491149,0.339730040722599,0.368012713243441,0,0.305979953946033,0.352289223057232,0.316056884818056,0.343291264374687,0.277560209681928,0.331003950506774,0.372159387381989,0.362899175835079,0.366388370846611,0.386501635513868,0.38977177000109,0.519626800220632,0.347155230432713,0.339802512537222,0.260710740083575,0.319397359798352,0.338754344361741,0.331634468707954,0.346065616464828,0.421313215112499,0.332577374910665,0.348772448823802,0.344020423925915,0.373838162697036,0.293510919546244,0.361194007450457,0.356186716921236,0.380572271222469,0.38241972270841,0.359836531736422,0.316994683479846
"Simuliidae <unknown description>",0.269133043904437,0.346805968064226,0.199114484193891,0.325879745780136,0.221931093784997,0.197636522732673,0.359673358194335,0.305979953946033,0,0.184150773923155,0.248550690649538,0.285357349928181,0.280538998259681,0.352058034188978,0.240649857321062,0.37752152323386,0.230456335340735,0.296861160171143,0.287831791944655,0.422441002124064,0.23283165012177,0.274434074423996,0.247664838415089,0.275808814692142,0.297616769028972,0.262138220307665,0.244889760358834,0.254663490530306,0.274217684479064,0.297616769028972,0.22942901250416,0.204533511862381,0.325613437364557,0.232681928819748,0.252498471906744,0.216619828433348,0.246129364215922,0.239214075761132,0.211626186144685
"Taeniopteryx_nebulosa <unknown description>",0.277332769373152,0.358761324061959,0.187307417793634,0.371228158408586,0.180565436186757,0.165206205631653,0.382149177341825,0.352289223057232,0.184150773923155,0,0.241765428932425,0.31713075390754,0.289542639907404,0.33095872716658,0.243382104557101,0.397724423478841,0.201850628106183,0.266027616069084,0.279465685185667,0.402236232955126,0.194921778144546,0.291481180095484,0.280273990035027,0.266027616069084,0.341675559005802,0.241765428932425,0.237651076478246,0.237365096907046,0.285448674653812,0.261963279203372,0.216709114204455,0.199202664525951,0.357139924270803,0.227334284261374,0.227469668440282,0.182406918990319,0.185628770595722,0.254272019965413,0.179709673651549
