"Silo_pallipes <unknown description>","Polycentropus_flavomaculatus <unknown description>","Nemoura_sp <unknown description>","Hydropsyche_saxonica <unknown description>","Isoperla_sp <unknown description>","Leuctra_sp <unknown description>","Neureclipsis_bimaculata <unknown description>","Oxyethira_sp <unknown description>","Simuliidae <unknown description>","Taeniopteryx_nebulosa <unknown description>","Hydraena_sp <unknown description>","Micrasema_setiferum <unknown description>","Hydropsyche_siltalai <unknown description>","Plectrocnemia_sp <unknown description>","Ephemerella_aurivillii <unknown description>","Polycentropus_irroratus <unknown description>","Nemoura_cinerea <unknown description>","Baetis_vernus_group <unknown description>","Leptophlebia_sp <unknown description>","Sphaerium_sp <unknown description>","Protonemura_sp <unknown description>","Micrasema_gelidum <unknown description>","Agapetus_sp <unknown description>","Oulimnius_tuberculatus <unknown description>","Lepidostoma_hirtum <unknown description>","Elmis_aenea <unknown description>","Rhyacophila_nubila <unknown description>","Diura_sp <unknown description>","Limnius_volckmari <unknown description>","Baetis_rhodani <unknown description>","Sialis_sp <unknown description>","Kageronia_fuscogrisea <unknown description>","Hydropsyche_pellucidula <unknown description>","Ameletus_inopinatus <unknown description>","Ephemerella_mucronata <unknown description>","Leuctra_nigra <unknown description>","Capnopsis_schilleri <unknown description>","Heptagenia_sulphurea <unknown description>","Amphinemura_borealis <unknown description>"
"Silo_pallipes <unknown description>",0,0.250474383301708,0.273244781783681,0.277039848197343,0.27134724857685,0.267552182163188,0.244781783681214,0.269449715370019,0.225806451612903,0.231499051233397,0.263757115749526,0.184060721062619,0.231499051233397,0.214421252371917,0.261859582542694,0.280834914611006,0.273244781783681,0.282732447817837,0.301707779886148,0.328273244781784,0.278937381404175,0.163187855787476,0.231499051233397,0.252371916508539,0.201138519924099,0.267552182163188,0.218216318785579,0.299810246679317,0.256166982922201,0.267552182163188,0.250474383301708,0.244781783681214,0.240986717267552,0.275142314990512,0.278937381404175,0.273244781783681,0.273244781783681,0.290322580645161,0.239089184060721
"Polycentropus_flavomaculatus <unknown description>",0.250474383301708,0,0.299810246679317,0.275142314990512,0.32258064516129,0.286527514231499,0.182163187855787,0.265654648956357,0.277039848197343,0.284629981024668,0.292220113851992,0.280834914611006,0.242884250474383,0.125237191650854,0.33965844402277,0.113851992409867,0.28842504743833,0.328273244781784,0.371916508538899,0.354838709677419,0.32258064516129,0.25426944971537,0.259962049335863,0.297912713472486,0.299810246679317,0.299810246679317,0.258064516129032,0.33965844402277,0.311195445920304,0.320683111954459,0.282732447817837,0.294117647058824,0.267552182163188,0.309297912713473,0.330170777988615,0.30550284629981,0.333965844402277,0.314990512333966,0.314990512333966
"Nemoura_sp <unknown description>",0.273244781783681,0.299810246679317,0,0.294117647058824,0.159392789373814,0.16888045540797,0.303605313092979,0.290322580645161,0.174573055028463,0.165085388994307,0.248576850094877,0.27134724857685,0.286527514231499,0.286527514231499,0.206831119544592,0.32258064516129,0.115749525616698,0.244781783681214,0.250474383301708,0.337760910815939,0.16888045540797,0.25426944971537,0.242884250474383,0.223908918406072,0.256166982922201,0.235294117647059,0.22011385199241,0.199240986717268,0.218216318785579,0.229601518026565,0.201138519924099,0.208728652751423,0.284629981024668,0.191650853889943,0.225806451612903,0.182163187855787,0.197343453510436,0.212523719165085,0.159392789373814
"Hydropsyche_saxonica <unknown description>",0.277039848197343,0.275142314990512,0.294117647058824,0,0.27134724857685,0.301707779886148,0.286527514231499,0.250474383301708,0.263757115749526,0.292220113851992,0.263757115749526,0.294117647058824,0.161290322580645,0.25426944971537,0.28842504743833,0.280834914611006,0.277039848197343,0.286527514231499,0.320683111954459,0.368121442125237,0.286527514231499,0.250474383301708,0.242884250474383,0.252371916508539,0.273244781783681,0.326375711574953,0.242884250474383,0.296015180265655,0.277039848197343,0.30550284629981,0.277039848197343,0.290322580645161,0.163187855787476,0.286527514231499,0.282732447817837,0.296015180265655,0.307400379506641,0.28842504743833,0.290322580645161
"Isoperla_sp <unknown description>",0.27134724857685,0.32258064516129,0.159392789373814,0.27134724857685,0,0.174573055028463,0.318785578747628,0.278937381404175,0.191650853889943,0.159392789373814,0.227703984819734,0.269449715370019,0.275142314990512,0.292220113851992,0.208728652751423,0.333965844402277,0.184060721062619,0.240986717267552,0.231499051233397,0.32258064516129,0.184060721062619,0.239089184060721,0.23719165085389,0.210626185958254,0.242884250474383,0.248576850094877,0.214421252371917,0.149905123339658,0.227703984819734,0.242884250474383,0.197343453510436,0.199240986717268,0.280834914611006,0.180265654648956,0.218216318785579,0.176470588235294,0.163187855787476,0.180265654648956,0.166982922201139
"Leuctra_sp <unknown description>",0.267552182163188,0.286527514231499,0.16888045540797,0.301707779886148,0.174573055028463,0,0.296015180265655,0.27134724857685,0.172675521821632,0.148007590132827,0.214421252371917,0.246679316888046,0.277039848197343,0.277039848197343,0.199240986717268,0.292220113851992,0.172675521821632,0.231499051233397,0.216318785578748,0.335863377609108,0.170777988614801,0.218216318785579,0.229601518026565,0.223908918406072,0.267552182163188,0.235294117647059,0.22011385199241,0.191650853889943,0.239089184060721,0.231499051233397,0.195445920303605,0.201138519924099,0.292220113851992,0.189753320683112,0.193548387096774,0.138519924098672,0.180265654648956,0.191650853889943,0.174573055028463
"Neureclipsis_bimaculata <unknown description>",0.244781783681214,0.182163187855787,0.303605313092979,0.286527514231499,0.318785578747628,0.296015180265655,0,0.290322580645161,0.284629981024668,0.297912713472486,0.316888045540797,0.265654648956357,0.25426944971537,0.172675521821632,0.326375711574953,0.193548387096774,0.286527514231499,0.335863377609108,0.341555977229602,0.390891840607211,0.333965844402277,0.25426944971537,0.269449715370019,0.280834914611006,0.280834914611006,0.28842504743833,0.239089184060721,0.343453510436433,0.282732447817837,0.326375711574953,0.265654648956357,0.330170777988615,0.27134724857685,0.318785578747628,0.335863377609108,0.299810246679317,0.311195445920304,0.335863377609108,0.269449715370019
"Oxyethira_sp <unknown description>",0.269449715370019,0.265654648956357,0.290322580645161,0.250474383301708,0.278937381404175,0.27134724857685,0.290322580645161,0,0.248576850094877,0.278937381404175,0.256166982922201,0.275142314990512,0.231499051233397,0.267552182163188,0.290322580645161,0.286527514231499,0.28842504743833,0.296015180265655,0.299810246679317,0.373814041745731,0.277039848197343,0.273244781783681,0.22011385199241,0.258064516129032,0.27134724857685,0.265654648956357,0.277039848197343,0.316888045540797,0.265654648956357,0.277039848197343,0.275142314990512,0.292220113851992,0.242884250474383,0.284629981024668,0.280834914611006,0.296015180265655,0.297912713472486,0.282732447817837,0.258064516129032
"Simuliidae <unknown description>",0.225806451612903,0.277039848197343,0.174573055028463,0.263757115749526,0.191650853889943,0.172675521821632,0.284629981024668,0.248576850094877,0,0.163187855787476,0.210626185958254,0.23719165085389,0.233396584440228,0.280834914611006,0.204933586337761,0.294117647058824,0.197343453510436,0.242884250474383,0.235294117647059,0.32258064516129,0.199240986717268,0.229601518026565,0.210626185958254,0.229601518026565,0.244781783681214,0.22011385199241,0.208728652751423,0.214421252371917,0.227703984819734,0.244781783681214,0.197343453510436,0.178368121442125,0.263757115749526,0.199240986717268,0.212523719165085,0.187855787476281,0.208728652751423,0.20303605313093,0.184060721062619
"Taeniopteryx_nebulosa <unknown description>",0.231499051233397,0.284629981024668,0.165085388994307,0.292220113851992,0.159392789373814,0.148007590132827,0.297912713472486,0.278937381404175,0.163187855787476,0,0.204933586337761,0.258064516129032,0.239089184060721,0.267552182163188,0.206831119544592,0.307400379506641,0.176470588235294,0.222011385199241,0.229601518026565,0.311195445920304,0.170777988614801,0.240986717267552,0.233396584440228,0.222011385199241,0.273244781783681,0.204933586337761,0.20303605313093,0.201138519924099,0.235294117647059,0.22011385199241,0.187855787476281,0.174573055028463,0.282732447817837,0.195445920303605,0.195445920303605,0.161290322580645,0.163187855787476,0.214421252371917,0.159392789373814
